metrica,valor,throughput_mbps,segundos,bytes,ok
delay_ms,0,246.991,0.247,7638894,1
delay_ms,10,189.825,0.322,7638894,1
delay_ms,25,106.61,0.573,7638894,1
delay_ms,50,59.518,1.027,7638894,1
delay_ms,100,34.098,1.792,7638894,1
delay_ms,200,19.211,3.181,7638894,1
delay_ms,400,9.906,6.169,7638894,1
delay_ms,800,4.705,12.987,7638894,1
loss_pct,0,257.132,0.238,7638894,1
loss_pct,1,296.183,0.206,7638894,1
loss_pct,2,302.79,0.202,7638894,1
loss_pct,5,100.863,0.606,7638894,1
loss_pct,10,15.96,3.829,7638894,1
loss_pct,20,0.922,66.299,7638894,1
loss_pct,40,0.0,90,0,0
loss_pct,60,0.0,90,0,0
